Stock_No,Make,Model,Trim,Year,Eng,Trans,Color,Mileage,VIN,Options,Warranty Type,EPACity,EPAHighway,Price,Modified,Internet Specials,Sold,Locked,Dealer Certified,Manufacturer Cert.,Home Page Special,KBB Valuation Needs Verification,Rooftop,Type,MSRP,Days in Stock,Photos,NeedsPrinting
271400,Mercedes-Benz,SLK-Class,3.2L,2003,Gas V6 3.2L/195,,,0,WDBKK65F53F271400,,,17,26,8995,Yes,No,No,Yes,No,No,No,No,Parker's Used Cars,Used,9995,63,20,
168376,Mercedes-Benz,GLC,300 4MATIC,2023,Intercooled Turbo Premium Unleaded I-4 2.0 L/121,Automatic,Polar White,43272,W1N0J8EB5PG168376,,,20,26,40995,Yes,No,Yes,Yes,No,No,No,No,Parker's Used Cars,Used,42995,104,29,
91977,Mercedes-Benz,SL-Class,5.0L,2005,Gas V8 5.0L/303,Automatic,,145681,WDBSK75F25F091977,,,16,23,15995,Yes,No,No,Yes,No,No,No,No,Parker's Used Cars,Used,17995,64,20,
79073,Mercedes-Benz,GLC,GLC 300,2018,Intercooled Turbo Premium Unleaded I-4 2.0 L/121,Automatic,Polar White,86295,WDC0G4JB0JV079073,,,22,28,0,Yes,No,No,Yes,No,No,No,No,Parker's Used Cars,Used,0,15,20,
843282,Nissan,Versa,SV,2020,Regular Unleaded I-4 1.6 L/98,Variable,Super Black,106516,3N1CN8EV3LL843282,,,32,40,0,Yes,No,No,Yes,No,No,No,No,Parker's Used Cars,Used,0,8,20,
130330,Polaris,Slingshot,SLR,2018,,,,0,57XAARFA9K8130330,,,,,0,Yes,No,No,Yes,No,No,No,No,Parker's Used Cars,Used,21995,56,20,
229517,Pontiac,Firebird,WS6,1998,Gas V8 5.7L/346,Manual,Bright Silver (Met),75559,2G2FV22G0W2229517,,,17,26,20995,Yes,No,No,Yes,No,No,No,No,Parker's Used Cars,Used,21995,64,20,
120056,Pontiac,Firebird,WS6,2001,Gas V8 5.7L/346,Automatic,Navy Blue Metallic,144723,2G2FV22G312120056,,,18,28,12995,Yes,No,Yes,Yes,No,No,No,No,Parker's Used Cars,Used,14995,63,20,
298736,Ram,1500,Laramie,2016,Regular Unleaded V-6 3.6 L/220,Automatic,Flame Red Clearcoat,211356,1C6RR7NGXGS298736,3.6L V6 engine|8-speed automatic|4WD|Laramie Package|Off-road suspension|18-inch alloy wheels|Halogen headlamps|LED taillamps|Power tailgate|Leather seating surfaces|Heated front seats|Ventilated front seats|Dual-zone climate control|Navigation system|Premium audio|Apple CarPlay|Android Auto|Bluetooth connectivity|Rear Vision Camera|Front Park Assist|Rear Park Assist|Blind Zone Alert|Rear Cross Traffic Alert|Adaptive Cruise Control|Keyless entry|Push-button start|Remote start|Rain-sensing wipers|Power tilt/telescoping steering|Driver memory settings|Auto-dimming mirrors|Power windows|Power door locks|Power mirrors,AS-IS,16,23,0,Yes,No,No,Yes,No,No,No,No,Parker's Used Cars,Used,0,"2,164",20,
237034,Ram,1500,Longhorn 4WD,2018,Intercooled Turbo Diesel V-6 3.0 L/182,Automatic,Bright White Clearcoat,60445,1C6RR7PM0JS237034,3.0L EcoDiesel V6|8-speed automatic|4WD|Longhorn Package|Off-road suspension|20-inch alloy wheels|LED headlamps|LED taillamps|Power tailgate|Leather seating surfaces|Heated front seats|Ventilated front seats|Dual-zone climate control|Navigation system|Premium audio|Apple CarPlay|Android Auto|Bluetooth connectivity|Rear Vision Camera|Front Park Assist|Rear Park Assist|Blind Zone Alert|Rear Cross Traffic Alert|Adaptive Cruise Control|Keyless entry|Push-button start|Remote start|Rain-sensing wipers|Power tilt/telescoping steering|Driver memory settings|Auto-dimming mirrors|Power windows|Power door locks|Power mirrors,AS-IS,19,27,34995,Yes,No,No,Yes,No,No,No,No,Parker's Used Cars,Used,35995,"1,597",32,
