Stock_No,Make,Model,Trim,Year,Eng,Trans,Color,Mileage,VIN,Options,Warranty Type,Price,EPACity,EPAHighway,Modified,Internet Specials,Sold,Locked,Dealer Certified,Manufacturer Cert.,Home Page Special,KBB Valuation Needs Verification,Rooftop,Type,MSRP,Days in Stock,Photos
4023,Audi,Q4 e-tron,Premium Plus 50 quattro,2023,Electric,Automatic,Glacier White Metallic,10815,WA1L2BFZ2PP004023,,,,,42995,Yes,No,No,Yes,No,No,No,No,Parker's Used Cars,Used,44995,709,32,
40411,Audi,SQ5,Prestige,2018,Intercooled Turbo Premium Unleaded V-6 3.0 L/183,Automatic,Monsoon Gray Metallic,86442,WA1C4AFY4J2040411,,,19,24,22995,Yes,No,No,Yes,No,No,No,No,Parker's Used Cars,Used,24995,69,20,
53140,Audi,Q3,S line Premium Plus,2025,Intercooled Turbo Regular Unleaded I-4 2.0 L/121,Automatic,Glacier White Metallic,15290,WA1EEDF35S1053140,,,20,28,39995,Yes,No,No,Yes,No,No,No,No,Parker's Used Cars,Used,40995,54,20,
W19923,BMW,5 Series,540i,2019,Intercooled Turbo Premium Unleaded I-6 3.0 L/183,Automatic,Black Sapphire Metallic,51493,WBAJE5C58KWW19923,,,21,29,30995,Yes,No,No,Yes,No,No,No,No,Parker's Used Cars,Used,31995,70,20,
A55392,BMW,X1,xDrive28i,2017,Intercooled Turbo Premium Unleaded I-4 2.0 L/122,Automatic,,75713,WBXHT3Z34H4A55392,,,22,31,0,Yes,No,No,Yes,No,No,No,No,Parker's Used Cars,Used,0,64,20,
D62383,BMW,X3,xDrive,2018,Intercooled Turbo Premium Unleaded I-4 2.0 L/122,Automatic,Phytonic Blue Metallic,111983,5UXTR9C58JLD62383,,,22,29,20995,Yes,No,No,Yes,No,No,No,No,Parker's Used Cars,Used,21995,75,29,
J99108,BMW,8 Series,M850i,2022,Twin Turbo Premium Unleaded V-8 4.4 L/268,Automatic,Mineral White Metallic,40682,WBAGV8C07NCJ99108,,,17,24,0,Yes,No,No,Yes,No,No,No,No,Parker's Used Cars,Used,0,34,20,
249238,BMW,X3,xDrive30i,2024,Intercooled Turbo Premium Unleaded I-4 2.0 L/122,Automatic,Dark Graphite Metallic,10643,WBX57DP02RN249238,,,21,28,0,Yes,No,No,Yes,No,No,No,No,Parker's Used Cars,Used,0,8,20,
228447,Buick,Enclave,Avenir FWD,2023,Gas V6 3.6L/217,Automatic,Ebony Twilight Metallic,13639,5GAERDKW4PJ228447,,,18,26,44995,Yes,No,No,Yes,No,No,No,No,Parker's Used Cars,Used,45995,77,34,
122736,Cadillac,XT5,Premium Luxury FWD,2018,Gas V6 3.6L/222.6,Automatic,Radiant Silver Metallic,91637,1GYKNERS6JZ122736,3.6L V6 Engine|8-Speed Automatic Transmission|Front-Wheel Drive|Leather Seating|Heated Front Seats|Ventilated Front Seats|Power Driver Seat|Power Passenger Seat|Memory Driver Seat|Tri-Zone Climate Control|Navigation System|Bluetooth Connectivity|Apple CarPlay|Android Auto|Premium Audio System|USB Ports|Wireless Charging|Rearview Camera|Front and Rear Parking Sensors|Blind Spot Monitoring|Lane Keep Assist|Forward Collision Alert|Automatic Emergency Braking|Adaptive Cruise Control|Keyless Entry|Push Button Start|Power Liftgate|LED Headlights|18-inch Alloy Wheels|Electronic Parking Brake,AS-IS,19,26,0,Yes,No,Yes,Yes,No,No,No,No,Parker's Used Cars,Used,0,50,20,
