Stock_No,Make,Model,Trim,Year,Eng,Trans,Color,Mileage,VIN,Options,Warranty Type,EPACity,EPAHighway,Price,Modified,Internet Specials,Sold,Locked,Dealer Certified,Manufacturer Cert.,Home Page Special,KBB Valuation Needs Verification,Rooftop,Type,MSRP,Days in Stock,Photos,NeedsPrinting,,,,,,,
053140,AUDI,Q3,S line Premium Plus quattro,2025,2.0L L4 DOHC 24V,8-Speed Automatic,WHITE,15290,WA1EEDF35S1053140,Leather Upholstery|Panoramic Sunroof|LED Headlights|Adaptive Cruise Control|Lane Departure Warning|Blind Spot Monitoring|Front and Rear Parking Sensors|Wireless Apple CarPlay|Android Auto|Navigation System|Bang & Olufsen Premium Audio|Heated Front Seats|Ventilated Front Seats|Power Liftgate|Dual-Zone Automatic Climate Control|Rain-Sensing Wipers|Keyless Entry|Push Button Start|Power Adjustable Front Seats|Driver Memory Seat|Split Folding Rear Seats|Rearview Camera|Audi Pre Sense Front|Audi Side Assist|Traffic Sign Recognition|Virtual Cockpit Digital Display|Voice Control|Bluetooth Connectivity|USB Ports|Wireless Charging Pad|Auto-Dimming Rearview Mirror|LED Taillights|Fog Lights|Alloy Wheels|Tire Pressure Monitoring System|Electronic Stability Control|Traction Control|ABS Brakes|Airbags Front and Side|Child Safety Locks|Immobilizer|Security System|Drive Select Modes|Hill Descent Control|Power Mirrors|Heated Mirrors|Rear Defrost|Ambient Interior Lighting|Leather-Wrapped Steering Wheel|Steering Wheel Audio Controls|Cruise Control,BOF,20,28,Available,Used,Truck,SPORT UTILITY 4-DR,,Gasoline,10/3/2025,39995,0,42600,0,,,,
004023,AUDI,Q4 e-tron,Premium Plus w/50,2023,ELECTRIC,1-Speed Automatic,WHITE,10815,WA1L2BFZ2PP004023,Leatherette Upholstery|Heated Front Seats|Heated Rear Seats|Panoramic Glass Roof|Matrix LED Headlights|Adaptive Cruise Control|Lane Keep Assist|Blind Spot Monitoring|Front and Rear Parking Sensors|Surround View Camera|Wireless Apple CarPlay|Android Auto|MMI Navigation Plus|Premium Audio System|Wireless Charging|Power Liftgate|Dual-Zone Climate Control|Rain-Sensing Wipers|Keyless Entry|Push Button Start|Power Adjustable Front Seats|Driver Memory Seat|Split Folding Rear Seats|Audi Pre Sense Front|Audi Side Assist|Traffic Jam Assist|Virtual Cockpit|Bluetooth Connectivity|USB-C Ports|Voice Control|Auto-Dimming Rearview Mirror|LED Taillights|Fog Lights|Alloy Wheels|Tire Pressure Monitoring System|Electronic Stability Control|Traction Control|ABS Brakes|Airbags Front and Side|Child Safety Locks|Immobilizer|Security System|Drive Select Modes|Regenerative Braking|Heat Pump|Power Mirrors|Heated Mirrors|Rear Defrost|Ambient Interior Lighting|Leather-Wrapped Steering Wheel|Steering Wheel Audio Controls|Cruise Control,BOF,0,0,Available,Used,Truck,SPORT UTILITY 4-DR,,Gasoline,12/15/2023,42995,0,61400,0,,,,
109268,AUDI,QUATTRO,3.0T Premium Plus quattro,2015,3.0L V6 DOHC 24V,8-Speed Automatic,,0,WA1DGAFP9FA109268,Leather Upholstery|Heated Front Seats|Ventilated Front Seats|Power Sunroof|Xenon Headlights|Adaptive Cruise Control|Blind Spot Monitoring|Front Parking Sensors|Rear Parking Sensors|Rearview Camera|Navigation System|Bang & Olufsen Audio|Bluetooth Connectivity|USB Ports|Voice Control|Power Liftgate|Dual-Zone Climate Control|Rain-Sensing Wipers|Keyless Entry|Push Button Start|Power Adjustable Front Seats|Driver Memory Seat|Split Folding Rear Seats|Audi Pre Sense|Electronic Stability Control|Traction Control|ABS Brakes|Airbags Front and Side|Child Safety Locks|Immobilizer|Security System|Auto-Dimming Rearview Mirror|Fog Lights|Alloy Wheels|Tire Pressure Monitoring System|Leather-Wrapped Steering Wheel|Steering Wheel Audio Controls|Cruise Control|LED Taillights|Power Mirrors|Heated Mirrors|Rear Defrost|Ambient Interior Lighting|Drive Select Modes|Hill Descent Control|Parking Assist|CD Player|Satellite Radio|Auxiliary Input|Climate Control|Digital Instrument Cluster,AS-IS,18,26,Available,Used,Car,SPORT UTILITY 4-DR,,Gasoline,2/10/2025,0,0,0,10000,,,,
040411,AUDI,SQ5,3.0T Prestige quattro,2018,3.0L V6 DOHC 24V,8-Speed Automatic,SILVER,86442,WA1C4AFY4J2040411,Leather Upholstery|Heated Front Seats|Ventilated Front Seats|Panoramic Sunroof|LED Headlights|Adaptive Cruise Control|Lane Departure Warning|Blind Spot Monitoring|Front and Rear Parking Sensors|Surround View Camera|Navigation System|Bang & Olufsen Premium Audio|Bluetooth Connectivity|USB Ports|Wireless Charging|Voice Control|Power Liftgate|Tri-Zone Climate Control|Rain-Sensing Wipers|Keyless Entry|Push Button Start|Power Adjustable Front Seats|Driver Memory Seat|Split Folding Rear Seats|Audi Pre Sense|Electronic Stability Control|Traction Control|ABS Brakes|Airbags Front and Side|Child Safety Locks|Immobilizer|Security System|Auto-Dimming Rearview Mirror|Fog Lights|Alloy Wheels|Tire Pressure Monitoring System|Leather-Wrapped Steering Wheel|Steering Wheel Audio Controls|Cruise Control|LED Taillights|Power Mirrors|Heated Mirrors|Rear Defrost|Ambient Interior Lighting|Drive Select Modes|Hill Descent Control|Parking Assist|Satellite Radio|Climate Control|Digital Instrument Cluster,AS-IS,19,24,Available,Used,Truck,SPORT UTILITY 4-DR,,Gasoline,5/1/2025,22995,0,58500,0,,,,
101388T,Bear Trailer Manufacturing,DUMP-LP,,2023,,,,0,4YNBN1624PC101388,Heavy Duty Steel Frame|Powder-Coated Finish|DOT Approved Lighting|LED Tail Lights|Safety Chains|Breakaway System|Electric Brakes|Reflective Tape|Tongue Jack|Stake Pockets|Tie Down Points|Load Ramp|Spare Tire Mount|Spring Suspension|Grease Fittings|DOT Reflectors|DOT Safety Decals|DOT Approved Hitch|DOT Approved Axle|DOT Approved Brakes|DOT Approved Tires|DOT Approved Wiring|DOT Approved Lights|DOT Approved Ramp|DOT Approved Finish|DOT Approved Frame|DOT Approved Suspension|DOT Approved Jack|DOT Approved Mount|DOT Approved Coupler|DOT Approved Pockets|DOT Approved Points|DOT Approved Powder Coat|DOT Approved Weather Resistance|DOT Approved Reflective Tape|DOT Approved Safety Chains|DOT Approved Breakaway System|DOT Approved Lighting|DOT Approved Hitch Ball|DOT Approved Safety Lock|DOT Approved Grease Fittings|DOT Approved Spring Suspension|DOT Approved DOT Compliance|DOT Approved DOT Reflectors,BOF,0,0,Available,Used,Misc,ANDERSON,,Gasoline,11/6/2025,20000,20000,0,15000,,,,
j77782,BMW,128i Convertible,1-Series,2010,3.0L L6 DOHC 24V,6-Speed Automatic,WHITE,148073,WBAUL7C53AVJ77782,Leather Upholstery|Heated Front Seats|Power Convertible Top|Xenon Headlights|Fog Lights|Rain-Sensing Wipers|Cruise Control|Bluetooth Connectivity|USB Ports|Auxiliary Input|CD Player|AM/FM Stereo|Premium Audio System|Navigation System|Power Adjustable Front Seats|Driver Memory Seat|Split Folding Rear Seats|Dual-Zone Climate Control|Auto-Dimming Rearview Mirror|Keyless Entry|Push Button Start|Rear Parking Sensors|Rearview Camera|Electronic Stability Control|Traction Control|ABS Brakes|Airbags Front and Side|Child Safety Locks|Immobilizer|Security System|Alloy Wheels|Tire Pressure Monitoring System|Leather-Wrapped Steering Wheel|Steering Wheel Audio Controls|Voice Control|Power Mirrors|Heated Mirrors|Rear Defrost|Ambient Interior Lighting|Wind Deflector|Sport Suspension|Dynamic Stability Control|Brake Assist|Hill Start Assist|Satellite Radio|Climate Control|Digital Instrument Cluster,AS-IS,18,27,Available,Used,Car,CONVERTIBLE 2-DR,,Gasoline,3/13/2025,0,0,34200,0,,,,
83353,BMW,430i Coupe,4-Series,2021,2.0L L4 DOHC 16V,8-Speed Automatic,,0,WBA53AP05MCE83353,Leather Upholstery|Heated Front Seats|Ventilated Front Seats|Panoramic Sunroof|LED Headlights|Adaptive Cruise Control|Lane Departure Warning|Blind Spot Monitoring|Front and Rear Parking Sensors|Surround View Camera|Navigation System|Harman Kardon Premium Audio|Bluetooth Connectivity|USB Ports|Wireless Charging|Voice Control|Power Liftgate|Dual-Zone Climate Control|Rain-Sensing Wipers|Keyless Entry|Push Button Start|Power Adjustable Front Seats|Driver Memory Seat|Split Folding Rear Seats|Electronic Stability Control|Traction Control|ABS Brakes|Airbags Front and Side|Child Safety Locks|Immobilizer|Security System|Auto-Dimming Rearview Mirror|Fog Lights|Alloy Wheels|Tire Pressure Monitoring System|Leather-Wrapped Steering Wheel|Steering Wheel Audio Controls|Cruise Control|LED Taillights|Power Mirrors|Heated Mirrors|Rear Defrost|Ambient Interior Lighting|Drive Modes|Parking Assist|Satellite Radio|Climate Control|Digital Instrument Cluster,BOF,26,34,Available,Used,Car,COUPE 2-DR,,Gasoline,4/19/2024,0,0,0,28500,,,,
W199523,BMW,540i,5-Series,2019,3.0L L6 DOHC 24V,8-Speed Automatic,,0,WBAJE5C58KWW19923,Leather Upholstery|Heated Front Seats|Ventilated Front Seats|Panoramic Sunroof|LED Headlights|Adaptive Cruise Control|Lane Departure Warning|Blind Spot Monitoring|Front and Rear Parking Sensors|Surround View Camera|Navigation System|Harman Kardon Premium Audio|Bluetooth Connectivity|USB Ports|Wireless Charging|Voice Control|Power Liftgate|Dual-Zone Climate Control|Rain-Sensing Wipers|Keyless Entry|Push Button Start|Power Adjustable Front Seats|Driver Memory Seat|Split Folding Rear Seats|Electronic Stability Control|Traction Control|ABS Brakes|Airbags Front and Side|Child Safety Locks|Immobilizer|Security System|Auto-Dimming Rearview Mirror|Fog Lights|Alloy Wheels|Tire Pressure Monitoring System|Leather-Wrapped Steering Wheel|Steering Wheel Audio Controls|Cruise Control|LED Taillights|Power Mirrors|Heated Mirrors|Rear Defrost|Ambient Interior Lighting|Drive Modes|Parking Assist|Satellite Radio|Climate Control|Digital Instrument Cluster,AS-IS,21,30,Available,Used,Car,SEDAN 4-DR,,Gasoline,2/1/2024,30995,0,0,27000,,,,
j99108,BMW,M850i xDrive,8-Series Gran Coupe,2022,4.4L V8,8-Speed Automatic,WHITE,40682,WBAGV8C07NCJ99108,Leather Upholstery|Heated Front Seats|Ventilated Front Seats|Panoramic Sunroof|Laser Headlights|Adaptive Cruise Control|Lane Departure Warning|Blind Spot Monitoring|Front and Rear Parking Sensors|Surround View Camera|Navigation System|Bowers & Wilkins Premium Audio|Bluetooth Connectivity|USB Ports|Wireless Charging|Voice Control|Power Liftgate|Quad-Zone Climate Control|Rain-Sensing Wipers|Keyless Entry|Push Button Start|Power Adjustable Front Seats|Driver Memory Seat|Split Folding Rear Seats|Electronic Stability Control|Traction Control|ABS Brakes|Airbags Front and Side|Child Safety Locks|Immobilizer|Security System|Auto-Dimming Rearview Mirror|Fog Lights|Alloy Wheels|Tire Pressure Monitoring System|Leather-Wrapped Steering Wheel|Steering Wheel Audio Controls|Cruise Control|LED Taillights|Power Mirrors|Heated Mirrors|Rear Defrost|Ambient Interior Lighting|Drive Modes|Parking Assist|Satellite Radio|Climate Control|Digital Instrument Cluster,BOF,17,24,Available,Used,Car,SEDAN 4-DR,,Gasoline,10/24/2025,64995,0,100895,0,,,,
A55392,BMW,X1,xDrive28i,2017,2.0L L4 DOHC 16V,8-Speed Automatic,,0,WBXHT3Z34H4A55392,Leatherette Upholstery|Heated Front Seats|Panoramic Sunroof|LED Headlights|Adaptive Cruise Control|Lane Departure Warning|Blind Spot Monitoring|Front and Rear Parking Sensors|Rearview Camera|Navigation System|Harman Kardon Premium Audio|Bluetooth Connectivity|USB Ports|Voice Control|Power Liftgate|Dual-Zone Climate Control|Rain-Sensing Wipers|Keyless Entry|Push Button Start|Power Adjustable Front Seats|Driver Memory Seat|Split Folding Rear Seats|Electronic Stability Control|Traction Control|ABS Brakes|Airbags Front and Side|Child Safety Locks|Immobilizer|Security System|Auto-Dimming Rearview Mirror|Fog Lights|Alloy Wheels|Tire Pressure Monitoring System|Leather-Wrapped Steering Wheel|Steering Wheel Audio Controls|Cruise Control|LED Taillights|Power Mirrors|Heated Mirrors|Rear Defrost|Ambient Interior Lighting|Drive Modes|Parking Assist|Satellite Radio|Climate Control|Digital Instrument Cluster,AS-IS,22,31,Available,Used,Truck,SPORT UTILITY 4-DR,,Gasoline,3/18/2025,15995,0,0,20016.58,,,,
