Stock_No,Make,Model,Trim,Year,Eng,Trans,Color,Mileage,VIN,Options,Days in Stock,Cert.,Photos,Warranty Type
004023,Audi,Q4 e-tron,Premium Plus 50 quattro,2023,Electric,Automatic,White,"10,815",WA1L2BFZ2PP004023,Power windows|Power door locks|Power sliding sunroof|Built in navigation system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,696,No,Yes,BOF
040411,Audi,SQ5,Prestige,2018,Intercooled Turbo Premium Unleaded V-6 3.0 L/183,Automatic,Gray,"86,442",WA1C4AFY4J2040411,Power door locks|Power windows|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,56,No,Yes,AS-IS
053140,Audi,Q3,S line Premium Plus,2025,Intercooled Turbo Regular Unleaded I-4 2.0 L/121,Automatic,White,"15,290",WA1EEDF35S1053140,Power door locks|Power windows|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,41,No,Yes,BOF
A55392,BMW,X1,xDrive28i,2017,Intercooled Turbo Premium Unleaded I-4 2.0 L/122,Automatic,,"75,713",WBXHT3Z34H4A55392,Power door locks|Power windows|Amplitude modulation and frequency modulation radio with compact disc player|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,51,No,Yes,AS-IS
D62383,BMW,X3,xDrive,2018,Intercooled Turbo Premium Unleaded I-4 2.0 L/122,Automatic,Blue,"111,983",5UXTR9C58JLD62383,Power door locks|Power windows|Amplitude modulation and frequency modulation radio with compact disc player|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,62,No,Yes,AS-IS
J99108,BMW,8 Series,M850i,2022,Twin Turbo Premium Unleaded V-8 4.4 L/268,Automatic,White,"40,682",WBAGV8C07NCJ99108,Power door locks|Power windows|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,21,No,Yes,BOF
W19923,BMW,5 Series,540i,2019,Intercooled Turbo Premium Unleaded I-6 3.0 L/183,Automatic,Black,"51,493",WBAJE5C58KWW19923,Power door locks|Power windows|Amplitude modulation and frequency modulation radio with compact disc player|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display,57,No,Yes,AS-IS
228447,Buick,Enclave,Avenir FWD,2023,Gas V6 3.6L/217,Automatic,Black,"13,639",5GAERDKW4PJ228447,Power door locks|Power windows|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,64,No,Yes,BOF
108685,Cadillac,Escalade,4WD Sport Platinum,2025,Gas V8 6.2L/375,Automatic,Black,"22,194",1GYS9GRL8SR108685,Power door locks|Power windows|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,43,No,Yes,BOF
112576,Cadillac,XT6,Premium Luxury,2025,Gas V6 3.6L/222,Automatic,White,"12,292",1GYKPCRS4SZ112576,Power door locks|Power windows|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,71,No,Yes,BOF
